"Date","Price","Open","High","Low","Vol.","Change %"
"04-04-2024","11.2200","11.3725","11.8375","10.8600","","-1.34%"
"03-04-2024","11.3725","11.6525","11.8275","11.3125","","-2.40%"
"02-04-2024","11.6525","12.0825","12.3050","11.5975","","-3.56%"
"01-04-2024","12.0825","12.8325","13.3575","12.0050","","-5.84%"
"28-03-2024","12.8325","12.7025","13.1800","12.2600","","1.02%"
"27-03-2024","12.7025","12.8200","13.0100","12.5325","","-0.92%"
"26-03-2024","12.8200","12.2200","13.1025","12.0850","","4.91%"
"22-03-2024","12.2200","12.5125","13.0475","11.8100","","-2.34%"
"21-03-2024","12.5125","13.4725","13.4725","12.3425","","-7.13%"
"20-03-2024","13.4725","14.1125","14.2825","13.0850","","-4.53%"
"19-03-2024","14.1125","13.8950","14.4450","13.8750","","1.57%"
"18-03-2024","13.8950","13.6900","14.6150","13.6900","","1.50%"
"15-03-2024","13.6900","13.6225","14.3325","13.5900","","0.50%"
"14-03-2024","13.6225","14.4325","14.6825","13.5225","","-5.61%"
"13-03-2024","14.4325","13.6375","15.0050","13.5325","","5.83%"
"12-03-2024","13.6375","13.9950","14.1950","13.5775","","-2.55%"
"11-03-2024","13.9950","13.6125","14.5525","13.6125","","2.81%"
"07-03-2024","13.6125","14.2950","14.4325","13.5600","","-4.77%"
"06-03-2024","14.2950","14.3800","14.7100","13.9050","","-0.59%"
"05-03-2024","14.3800","14.9225","15.1650","14.1775","","-3.64%"
"04-03-2024","14.9225","14.9925","15.3025","14.8225","","-0.47%"
"02-03-2024","14.9925","14.8650","15.4150","13.5300","","-1.59%"
"01-03-2024","15.2350","15.5725","15.6425","15.0000","","-2.17%"
"29-02-2024","15.5725","16.3300","16.5525","15.3700","","-4.64%"
"28-02-2024","16.3300","15.7275","16.7400","15.3100","","3.83%"
"27-02-2024","15.7275","15.6000","15.9975","15.5300","","0.82%"
"26-02-2024","15.6000","14.9725","15.9600","13.7575","","4.19%"
"23-02-2024","14.9725","15.1975","15.4425","14.8400","","-1.48%"
"22-02-2024","15.1975","15.9275","16.1500","15.1325","","-4.58%"
"21-02-2024","15.9275","16.0725","16.3100","15.6800","","-0.90%"
"20-02-2024","16.0725","16.0175","16.3600","14.2125","","0.34%"
"19-02-2024","16.0175","15.2225","16.1175","13.7000","","5.22%"
